height,skin_tone,body_type,gender,style_preference,fit_recommendation,top_recommendation,color_recommendation,extra_recommendation
short,fair,heavy,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,heavy,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,heavy,female,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,heavy,female,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,heavy,female,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,heavy,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,heavy,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,heavy,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,heavy,unisex,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,heavy,unisex,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,heavy,unisex,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,heavy,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,heavy,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,heavy,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,slim,male,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,slim,male,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,slim,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,slim,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,slim,female,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,slim,female,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,slim,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,slim,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,slim,unisex,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,slim,unisex,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,slim,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,slim,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,athletic,male,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,athletic,male,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,athletic,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,athletic,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,athletic,female,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,athletic,female,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,athletic,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,athletic,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,athletic,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,athletic,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,athletic,unisex,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,athletic,unisex,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,athletic,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,athletic,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,athletic,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,athletic,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,heavy,male,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,heavy,male,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,heavy,male,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,heavy,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,heavy,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,heavy,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,heavy,female,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,heavy,female,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,heavy,female,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,heavy,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,heavy,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,heavy,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,heavy,unisex,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",low-contrast sneakers and shorter outerwear
short,medium,heavy,unisex,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
short,medium,heavy,unisex,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,heavy,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,medium,heavy,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,medium,heavy,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,slim,male,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,slim,male,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,slim,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,slim,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,slim,female,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,slim,female,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,slim,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,slim,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,slim,unisex,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,slim,unisex,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,slim,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,slim,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,athletic,male,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,athletic,male,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,athletic,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,athletic,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,athletic,female,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,athletic,female,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,athletic,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,athletic,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,athletic,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,athletic,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,athletic,unisex,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,athletic,unisex,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,athletic,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,athletic,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,athletic,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,athletic,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,male,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,heavy,male,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,heavy,male,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,heavy,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,heavy,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,female,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,heavy,female,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,heavy,female,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,heavy,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,heavy,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,unisex,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",low-contrast sneakers and shorter outerwear
short,dark,heavy,unisex,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
short,dark,heavy,unisex,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,heavy,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,dark,heavy,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
average,fair,slim,male,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,slim,male,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,slim,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,slim,female,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",structured accessories and clean footwear
average,fair,slim,female,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,fair,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,fair,slim,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,fair,slim,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,fair,slim,unisex,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,slim,unisex,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,slim,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,athletic,male,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,athletic,male,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
